DUA;Item;Data;Año;Importador;RUC;Regimen;Código NCM;Aduana;Via Transporte;Nome do Transportador;Manifesto;Conhecimento;Porto de Embarque;País de Origem;Pais de Procedencia;Quantidade Comercial;Unidade de Medida;Quant. VF;U.V.F.;Embalagem;Tipo de Embalagem;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitário;U$S Frete;Kgs. Líquidos;TN Netos;Kgs. Brutos;Fornecedor;Marca;Descrição de Mercadoria;Descrição para o Filtro
118-207967;0001;8/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39042100;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01367-15;MSCUBC272735;CARTAGENA;Colômbia;Colômbia;22500;UNIDAD;22500;KILOGRAMO;2080;BUL;32895.7;1.46;33524.99;1.49;623.94;22500;22.5;22905.86;C.I. MEXICHEM COMPUESTOS COLOMBIA S.A.S.;MAXICHEM COMPUESTOS;M210-GREY-1350-25, MAXICHEM COMPUESTOS, M210GREY COMPUESTO DE PVC, CLORURO DE POLIVINILO, GRANULADO BOLSA DE 25 KG C/U USO INDUSTRIAL PVC;M210-GREY-1350-25, MAXICHEM COMPUESTOS, M210GREY COMPUESTO DE PVC, CLORURO DE POLIVINILO, GRANULADO BOLSA DE 25 KG C/U USO INDUSTRIAL PVC
118-207967;0002;8/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39042100;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01367-15;MSCUBC272735;CARTAGENA;Colômbia;Colômbia;3500;UNIDAD;3500;KILOGRAMO;0;BUL;5117.11;1.46;5214.99;1.49;97.05;3500;3.5;3563.13;C.I. MEXICHEM COMPUESTOS COLOMBIA S.A.S.;MAXICHEM COMPUESTOS;M210-GREY-1350-25, MAXICHEM COMPUESTOS, M210GREY COMPUESTO DE PVC, CLORURO DE POLIVINILO, GRANULADO BOLSA DE 25 KG C/U USO INDUSTRIAL PVC;M210-GREY-1350-25, MAXICHEM COMPUESTOS, M210GREY COMPUESTO DE PVC, CLORURO DE POLIVINILO, GRANULADO BOLSA DE 25 KG C/U USO INDUSTRIAL PVC
118-207967;0003;8/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39042100;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01367-15;MSCUBC272735;CARTAGENA;Colômbia;Colômbia;16000;UNIDAD;16000;KILOGRAMO;0;BUL;23392.5;1.46;23839.99;1.49;443.69;16000;16;16288.61;C.I. MEXICHEM COMPUESTOS COLOMBIA S.A.S.;MAXICHEM COMPUESTOS;M210-GREY-1350-25, MAXICHEM COMPUESTOS, M210GREY COMPUESTO DE PVC, CLORURO DE POLIVINILO, GRANULADO BOLSA DE 25 KG C/U USO INDUSTRIAL PVC;M210-GREY-1350-25, MAXICHEM COMPUESTOS, M210GREY COMPUESTO DE PVC, CLORURO DE POLIVINILO, GRANULADO BOLSA DE 25 KG C/U USO INDUSTRIAL PVC
118-207967;0004;8/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39042100;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01367-15;MSCUBC272735;CARTAGENA;Colômbia;Colômbia;7000;UNIDAD;7000;KILOGRAMO;0;BUL;11214.06;1.6;11409.99;1.63;194.11;7000;7;7126.26;C.I. MEXICHEM COMPUESTOS COLOMBIA S.A.S.;MAXICHEM COMPUESTOS;M210-BLUE-25, MAXICHEM COMPUESTOS, M210BLUE COMPUESTO DE PVC, CLORURO DE POLIVINILO, GRANULADO BOLSA DE 25 KG C/U USO INDUSTRIAL PVC;M210-BLUE-25, MAXICHEM COMPUESTOS, M210BLUE COMPUESTO DE PVC, CLORURO DE POLIVINILO, GRANULADO BOLSA DE 25 KG C/U USO INDUSTRIAL PVC
118-207967;0005;8/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39042100;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01367-15;MSCUBC272735;CARTAGENA;Colômbia;Colômbia;3000;UNIDAD;3000;KILOGRAMO;0;BUL;4806.03;1.6;4890;1.63;83.19;3000;3;3054.11;C.I. MEXICHEM COMPUESTOS COLOMBIA S.A.S.;MAXICHEM COMPUESTOS;M210-BLUE-25, MAXICHEM COMPUESTOS, M210BLUE COMPUESTO DE PVC, CLORURO DE POLIVINILO, GRANULADO BOLSA DE 25 KG C/U USO INDUSTRIAL PVC;M210-BLUE-25, MAXICHEM COMPUESTOS, M210BLUE COMPUESTO DE PVC, CLORURO DE POLIVINILO, GRANULADO BOLSA DE 25 KG C/U USO INDUSTRIAL PVC
118-207586;0001;8/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;29173200;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;01347-15;0055X09099;PUSAN;Coreia do Sul;Panamá;20000;KILOGRAMO;20000;KILOGRAMO;1;BUL;25100;1.26;26513.75;1.33;1100;20000;20;20120;EVERLITE KOREA CO LTD.;AEKYUNG;DOP FLEXITANQUE, AEKYUNG, DOP DOP FLEXITANQUE DOP (DIOCTYLPHTHALATE) USO INDUSTRIAL DIOCTYLPHTHALATE;DOP FLEXITANQUE, AEKYUNG, DOP DOP FLEXITANQUE DOP (DIOCTYLPHTHALATE) USO INDUSTRIAL DIOCTYLPHTHALATE
118-207591;0001;8/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;29173200;MARITIMA DEL CALLAO;MARITIMO;COSMOS AGENCIA MARITIMA S;01347-15;0055X09100;PUSAN;Coreia do Sul;Panamá;40000;KILOGRAMO;40000;KILOGRAMO;2;BUL;50200;1.26;53027.5;1.33;2200;40000;40;40135;EVERLITE KOREA CO.LTD.;AEKYUNG;DOP FLEXITANQUE, AEKYUNG, DOP DOP FLEXITANQUE DOP (DIOCTYLPHTHALATE) USO INDUSTRIAL DIOCTYLPHTHALATE;DOP FLEXITANQUE, AEKYUNG, DOP DOP FLEXITANQUE DOP (DIOCTYLPHTHALATE) USO INDUSTRIAL DIOCTYLPHTHALATE
118-207911;0001;8/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39041020;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01367-15;MSCUBC272750;CARTAGENA;Colômbia;Panamá;208000;UNIDAD;208000;KILOGRAMO;8320;BUL;188673.49;0.91;194480;0.94;5768;208000;208;210670;MEXICHEM RESINAS COLOMBIA S.A.S;PETCO;RESINA DE PVC 440, PETCO, PVC440 POLICLORURO DE VINILO SIN MEZCLAR CON OTRAS SUSTANCIAS OBTENIDO POR POLIMERIZACION EN SUSPENSION USO INDUSTRIAL RESINA DE PVC;RESINA DE PVC 440, PETCO, PVC440 POLICLORURO DE VINILO SIN MEZCLAR CON OTRAS SUSTANCIAS OBTENIDO POR POLIMERIZACION EN SUSPENSION USO INDUSTRIAL RESINA DE PVC
118-207914;0001;8/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39041020;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01367-15;MSCUBC272784;CARTAGENA;Colômbia;Colômbia;26000;UNIDAD;26000;KILOGRAMO;2080;BUL;23844.13;0.92;24569.99;0.94;721;26000;26;26575;MEXICHEM RESINAS COLOMBIA S.A.S;PETCO;PVC-450-25, PETCO, PVC450 RESINA DE PVC. POLICLORURO DE VINILO SIN MEZCLAR CON OTRAS SUSTANCIAS OBTENIDO POR POLIMERIZACION EN SUSPENSION USO INDUSTRIAL RESINA DE PVC;PVC-450-25, PETCO, PVC450 RESINA DE PVC. POLICLORURO DE VINILO SIN MEZCLAR CON OTRAS SUSTANCIAS OBTENIDO POR POLIMERIZACION EN SUSPENSION USO INDUSTRIAL RESINA DE PVC
118-207914;0002;8/06/2015;2015;COMINTER S.A.C.;4  20100334381;IMPORTACION DEFINITIVA;39041020;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;01367-15;MSCUBC272784;CARTAGENA;Colômbia;Colômbia;26000;UNIDAD;26000;KILOGRAMO;0;BUL;23844.14;0.92;24570;0.95;721;26000;26;26575;MEXICHEM RESINAS COLOMBIA S.A.S;PETCO;PVC-450-25, PETCO, PVC450 RESINA DE PVC. POLICLORURO DE VINILO SIN MEZCLAR CON OTRAS SUSTANCIAS OBTENIDO POR POLIMERIZACION EN SUSPENSION USO INDUSTRIAL RESINA DE PVC;PVC-450-25, PETCO, PVC450 RESINA DE PVC. POLICLORURO DE VINILO SIN MEZCLAR CON OTRAS SUSTANCIAS OBTENIDO POR POLIMERIZACION EN SUSPENSION USO INDUSTRIAL RESINA DE PVC
