DUA;Item;Fecha;Año;Importador;RUC;Regimen;Código NCM;Aduana;Vía Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;País de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;TN netos;Kgs. Brutos;Proveedor;Marca;Descripción de Mercadería;Descripción para Filtro
118-347812;0002;21/10/2020;2020;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02260-20;NAM4036245;HOUSTON;Estados Unidos;Puerto Rico;23.37;TM;23375;KILOGRAMO;0;BLS;23564.26;1008.31;24802.25;1061.29;1213.23;23375;23.375;23860;MTS LOGISTICS. INC5 WEST 37THSTREET.SUITE 300 NEW;MHOLLAND;POLIETILENO DE ALTA DENSIDAD MHOLLAND HD360U POLIETILENO DE ALTA DENSIDAD FABRICACION DE ARTICULOS DE PLASTICOS MATERIA PRIMA HD360U SYNTHETIC RESIN;POLIETILENO DE ALTA DENSIDAD MHOLLAND HD360U POLIETILENO DE ALTA DENSIDAD FABRICACION DE ARTICULOS DE PLASTICOS MATERIA PRIMA HD360U SYNTHETIC RESIN
118-347812;0003;21/10/2020;2020;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02260-20;NAM4036245;HOUSTON;Estados Unidos;Puerto Rico;23.37;TM;23375;KILOGRAMO;0;BLS;23564.26;1008.31;24802.25;1061.29;1213.23;23375;23.375;23860;MTS LOGISTICS. INC5 WEST 37THSTREET.SUITE 300 NEW;MHOLLAND;POLIETILENO DE ALTA DENSIDAD MHOLLAND HD360U POLIETILENO DE ALTA DENSIDAD FABRICACION DE ARTICULOS DE PLASTICOS MATERIA PRIMA HD360U SYNTHETIC RESIN;POLIETILENO DE ALTA DENSIDAD MHOLLAND HD360U POLIETILENO DE ALTA DENSIDAD FABRICACION DE ARTICULOS DE PLASTICOS MATERIA PRIMA HD360U SYNTHETIC RESIN
118-347812;0004;21/10/2020;2020;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02260-20;NAM4036245;HOUSTON;Estados Unidos;Puerto Rico;23.37;TM;23375;KILOGRAMO;0;BLS;24616.14;1053.32;25855.23;1106.34;1213.23;23375;23.375;23860;MTS LOGISTICS. INC5 WEST 37THSTREET.SUITE 300 NEW;MHOLLAND;POLIETILENO DE ALTA DENSIDAD MHOLLAND HD105 POLIETILENO DE ALTA DENSIDAD FABRICACION DE ARTICULOS DE PLASTICOS MATERIA PRIMA HD105 SYNTHETIC RESIN;POLIETILENO DE ALTA DENSIDAD MHOLLAND HD105 POLIETILENO DE ALTA DENSIDAD FABRICACION DE ARTICULOS DE PLASTICOS MATERIA PRIMA HD105 SYNTHETIC RESIN
118-347812;0005;21/10/2020;2020;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02260-20;NAM4036245;HOUSTON;Estados Unidos;Puerto Rico;23.37;TM;23375;KILOGRAMO;0;BLS;24616.14;1053.32;25855.23;1106.34;1213.23;23375;23.375;23860;MTS LOGISTICS. INC5 WEST 37THSTREET.SUITE 300 NEW;MHOLLAND;POLIETILENO DE ALTA DENSIDAD MHOLLAND HD105 POLIETILENO DE ALTA DENSIDAD FABRICACION DE ARTICULOS DE PLASTICOS MATERIA PRIMA HD105 SYNTHETIC RESIN;POLIETILENO DE ALTA DENSIDAD MHOLLAND HD105 POLIETILENO DE ALTA DENSIDAD FABRICACION DE ARTICULOS DE PLASTICOS MATERIA PRIMA HD105 SYNTHETIC RESIN
118-347812;0006;21/10/2020;2020;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02260-20;NAM4036245;HOUSTON;Estados Unidos;Puerto Rico;23.37;TM;23375;KILOGRAMO;0;BLS;24620.54;1053.51;25855.24;1106.34;1208.83;23375;23.375;23860;MTS LOGISTICS. INC5 WEST 37THSTREET.SUITE 300 NEW;MHOLLAND;POLIETILENO DE ALTA DENSIDAD MHOLLAND HD100 POLIETILENO DE ALTA DENSIDAD FABRICACION DE ARTICULOS DE PLASTICOS MATERIA PRIMA HD100 SYNTHETIC RESIN;POLIETILENO DE ALTA DENSIDAD MHOLLAND HD100 POLIETILENO DE ALTA DENSIDAD FABRICACION DE ARTICULOS DE PLASTICOS MATERIA PRIMA HD100 SYNTHETIC RESIN
118-357824;0001;27/10/2020;2020;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39041020;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02339-20;MEDUUA656450;HOUSTON;Estados Unidos;Estados Unidos;116.87;TM;116875;KILOGRAMO;46.75;BUL;140859.38;1205.27;145904.85;1248.44;4900;116875;116.875;118330;OXYDE CHEMICALS. INC.;OXYVINYLS;PVC OXYVINYLS 225P. OXYVINYLS. 225P  PARA FABRICACION DE PRODUCTOS PLASTICOS POLICLORURO DE VINILO S-PVC RESIN K-65 OXYVINYLS 225P;PVC OXYVINYLS 225P. OXYVINYLS. 225P  PARA FABRICACION DE PRODUCTOS PLASTICOS POLICLORURO DE VINILO S-PVC RESIN K-65 OXYVINYLS 225P
118-359456;0001;28/10/2020;2020;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02324-20;NAM4036606;No disponible;Estados Unidos;Puerto Rico;24;TM;24000;KILOGRAMO;19.2;SAC;22282.5;928.44;23543.51;980.98;1237.5;24000;24;24340;MTS LOGISTICS. INC5 WEST 37TH STREET.SUITE 300 NEW;M HOLLAND;POLIETILENO DE BAJA DENSIDAD M HOLLAND LL104MM POLIETILENO DE BAJA DENSIDAD FABRICACION ARTICULOS DE PLASTICOS 960 BAGS X 25 KGS LINEAR LOW DENSITY POLYETHYLENE;POLIETILENO DE BAJA DENSIDAD M HOLLAND LL104MM POLIETILENO DE BAJA DENSIDAD FABRICACION ARTICULOS DE PLASTICOS 960 BAGS X 25 KGS LINEAR LOW DENSITY POLYETHYLENE
118-359456;0002;28/10/2020;2020;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02324-20;NAM4036606;No disponible;Estados Unidos;Puerto Rico;24;TM;24000;KILOGRAMO;0;SAC;22282.5;928.44;23543.51;980.98;1237.5;24000;24;24340;MTS LOGISTICS. INC5 WEST 37TH STREET.SUITE 300 NEW;M HOLLAND;POLIETILENO DE BAJA DENSIDAD M HOLLAND LL104MM POLIETILENO DE BAJA DENSIDAD FABRICACION ARTICULOS DE PLASTICOS 960 BAGS X 25 KGS LINEAR LOW DENSITY POLYETHYLENE;POLIETILENO DE BAJA DENSIDAD M HOLLAND LL104MM POLIETILENO DE BAJA DENSIDAD FABRICACION ARTICULOS DE PLASTICOS 960 BAGS X 25 KGS LINEAR LOW DENSITY POLYETHYLENE
118-379019;0001;10/11/2020;2020;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02450-20;MEDUUA875506;HOUSTON;Estados Unidos;Puerto Rico;23.37;TM;23375;KILOGRAMO;37.4;SAC;24961.25;1068.09;26206.18;1121.36;1218.75;23375;23.375;23740;MTS LOGISTICS. INC.5 WEST 37TH STREET.SUITE 300 NE;MTEGRITY;POLIETILENO DE ALTA DENSIDAD MTEGRITY HD100 POLIETILENO DE ALTA DENSIDAD USO INDUSTRIAL 935 SACOS HD100 SYNTHETIC RESIN;POLIETILENO DE ALTA DENSIDAD MTEGRITY HD100 POLIETILENO DE ALTA DENSIDAD USO INDUSTRIAL 935 SACOS HD100 SYNTHETIC RESIN
118-379019;0002;10/11/2020;2020;INVERSIONES MESAL SOCIEDAD ANONIMA CERRADA - INMES;4  20601119111;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02450-20;MEDUUA875506;HOUSTON;Estados Unidos;Puerto Rico;23.37;TM;23375;KILOGRAMO;0;SAC;24961.25;1068.09;26206.18;1121.36;1218.75;23375;23.375;23740;MTS LOGISTICS. INC.5 WEST 37TH STREET.SUITE 300 NE;MTEGRITY;POLIETILENO DE ALTA DENSIDAD MTEGRITY HD100 POLIETILENO DE ALTA DENSIDAD USO INDUSTRIAL 935 SACOS HD100 SYNTHETIC RESIN;POLIETILENO DE ALTA DENSIDAD MTEGRITY HD100 POLIETILENO DE ALTA DENSIDAD USO INDUSTRIAL 935 SACOS HD100 SYNTHETIC RESIN
