DUA;Item;Fecha;Año;Importador;RUC;Regimen;Código NCM;Aduana;Vía Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;País de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;TN Netos;Kgs. Brutos;Proveedor;Marca;Descripción de Mercadería;Descripción para Filtro
118-009043;0008;07/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39206200;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;00043-20;EGLV145999641286;SHANGHAI;China;Uruguay;1099.8;KG;1099.8;KILOGRAMO;0;No disponible;1189.93;1.08;1305.16;1.19;112.3;1099.8;1.0998;1132.41;JIANGSU XINGYE PLASTIC CO..LTD;JADE;POLITEREFTALATO DE ETILENO. JADE. S/M ACABADO:LAMINADO. COLOR:TRANSPARENTE. PLASTIF:   % SIN SOPORTE COM: 100% POLITEREFTALATO DE ETILENO ANCHO:0.46 M. ESPE.1: 0.25 MM. GRAMAJE:338 GR/M2. COMPO.PLASTICO:100 %. COMPO.SOPORTE:0 %;POLITEREFTALATO DE ETILENO. JADE. S/M ACABADO:LAMINADO. COLOR:TRANSPARENTE. PLASTIF:   % SIN SOPORTE COM: 100% POLITEREFTALATO DE ETILENO ANCHO:0.46 M. ESPE.1: 0.25 MM. GRAMAJE:338 GR/M2. COMPO.PLASTI
118-009043;0009;07/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39206200;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;00043-20;EGLV145999641286;SHANGHAI;China;Uruguay;1119;KG;1119;KILOGRAMO;0;No disponible;1210.71;1.08;1327.95;1.19;114.26;1119;1.119;1152.18;JIANGSU XINGYE PLASTIC CO..LTD;JADE;POLITEREFTALATO DE ETILENO. JADE. S/M ACABADO:LAMINADO. COLOR:TRANSPARENTE. PLASTIF:   % SIN SOPORTE COM: 100% POLITEREFTALATO DE ETILENO ANCHO:0.47 M. ESPE.1: 0.3 MM. GRAMAJE:405 GR/M2. COMPO.PLASTICO:100 %. COMPO.SOPORTE:0 %;POLITEREFTALATO DE ETILENO. JADE. S/M ACABADO:LAMINADO. COLOR:TRANSPARENTE. PLASTIF:   % SIN SOPORTE COM: 100% POLITEREFTALATO DE ETILENO ANCHO:0.47 M. ESPE.1: 0.3 MM. GRAMAJE:405 GR/M2. COMPO.PLASTIC
118-009998;0001;08/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02561-19;SUDU29999AIUY6E7;BALBOA;México;Uruguay;24.75;TM;24750;KILOGRAMO;0;No disponible;21768.5;879.54;22647.51;915.05;853;24750;24.75;25145;BRASKEM IDESA S.A.P.I.;BRASKEM;POLIETILENO DE ALTA  DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA  DENSIDAD 1980 BAGS X 25 KGS HDF1050 HIGH DENSITY POLYETHYLENE;POLIETILENO DE ALTA  DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA  DENSIDAD 1980 BAGS X 25 KGS HDF1050 HIGH DENSITY POLYETHYLENE
118-010155;0001;08/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02753-19;SUDU29297AIZWRSP;CARTAGENA;México;Uruguay;24.75;TM;24750;KILOGRAMO;0;No disponible;20753.75;838.54;21631.59;874;853;24750;24.75;25295;BRASKEM IDESA SAPI;BRASKEM;POLIETILENO DE ALTA  DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA  DENSIDAD 7920 BAGS X 25 KGS HDF1050  HIGH DENSITY POLYETHYLENE;POLIETILENO DE ALTA  DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA  DENSIDAD 7920 BAGS X 25 KGS HDF1050  HIGH DENSITY POLYETHYLENE
118-011051;0001;08/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00005-20;MAEU606783424;JUBAIL;Arabia Saudi;Uruguay;44;TM;44000;KILOGRAMO;0;No disponible;39356;894.45;41641;946.39;2235;44000;44;45140;SAUDI ETHYLENE AND POLYETHYLENE CO.PO BOX 35579319;LYONDELL BASELL-LUPOLEN;POLIETILENO DE BAJA DENSIDAD. LYONDELL BASELL-LUPOLEN. S/M 1760 SAC X 25KG  2427H LOW DENSITY POLYETHYLENE;POLIETILENO DE BAJA DENSIDAD. LYONDELL BASELL-LUPOLEN. S/M 1760 SAC X 25KG  2427H LOW DENSITY POLYETHYLENE
118-012376;0001;09/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;01790-19;HLCUSS3190600552;SALVADOR;Brasil;Uruguay;24.75;TM;24750;KILOGRAMO;0;No disponible;24057.06;972;26114.8;1055.14;2028;24750;24.75;25470;BRASKEM S.A.;BRASKEM;POLIETILENO DE ALTA DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA DENSIDAD 11880 BAGS X 25 KGS DA038A HIGH DENSITY POLYETHYLENE;POLIETILENO DE ALTA DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA DENSIDAD 11880 BAGS X 25 KGS DA038A HIGH DENSITY POLYETHYLENE
118-015387;0001;10/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;01790-19;HLCUSS3190600552;SALVADOR;Brasil;Uruguay;49.5;TM;49500;KILOGRAMO;0;No disponible;48114.12;972;52229.6;1055.14;4056;49500;49.5;50940;BRASKEM S.A.;BRASKEM;POLIETILENO DE ALTA DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA DENSIDAD 11880 BAGS X 25 KGS DA038A HIGH DENSITY POLYETHYLENE;POLIETILENO DE ALTA DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA DENSIDAD 11880 BAGS X 25 KGS DA038A HIGH DENSITY POLYETHYLENE
118-015411;0001;10/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02753-19;SUDU29297AIZWRSP;CARTAGENA;México;Uruguay;49.5;TM;49500;KILOGRAMO;0;No disponible;41507.5;838.54;43263.19;874;1706;49500;49.5;50590;BRASKEM IDESA SAPI;BRASKEM;POLIETILENO DE ALTA  DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA  DENSIDAD 7920 BAGS X 25 KGS HDF1050  HIGH DENSITY POLYETHYLENE;POLIETILENO DE ALTA  DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA  DENSIDAD 7920 BAGS X 25 KGS HDF1050  HIGH DENSITY POLYETHYLENE
118-016402;0001;10/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;01790-19;HLCUSS3190600552;SALVADOR;Brasil;Uruguay;49.5;TM;49500;KILOGRAMO;0;No disponible;48114.12;972;52229.6;1055.14;4056;49500;49.5;50940;BRASKEM S.A.;BRASKEM;POLIETILENO DE ALTA DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA DENSIDAD 11880 BAGS X 25 KGS DA038A HIGH DENSITY POLYETHYLENE;POLIETILENO DE ALTA DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA DENSIDAD 11880 BAGS X 25 KGS DA038A HIGH DENSITY POLYETHYLENE
118-017036;0001;10/01/2020;2020;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02753-19;SUDU29297AIZWRSP;CARTAGENA;México;Uruguay;24.75;TM;24750;KILOGRAMO;0;No disponible;20753.75;838.54;21631.59;874;853;24750;24.75;25295;BRASKEM IDESA SAPI;BRASKEM;POLIETILENO DE ALTA  DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA  DENSIDAD 7920 BAGS X 25 KGS HDF1050  HIGH DENSITY POLYETHYLENE;POLIETILENO DE ALTA  DENSIDAD. BRASKEM. S/M POLIETILENO DE ALTA  DENSIDAD 7920 BAGS X 25 KGS HDF1050  HIGH DENSITY POLYETHYLENE
