DUA;Item;Data;Año;Importador;RUC;Regimen;Código NCM;Aduana;Via Transporte;Nome do Transportador;Manifesto;Conhecimento;Porto de Embarque;País de Origem;Pais de Procedencia;Quantidade Comercial;Unidade de Medida;Quant. VF;U.V.F.;Embalagem;Tipo de Embalagem;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitário;U$S Frete;Kgs. Líquidos;TN Netos;Kgs. Brutos;Fornecedor;Marca;Descrição de Mercadoria;Descrição para o Filtro
118-389508;0001;18/11/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02518-20;HLCUBSC2010BLVQ7;HOUSTON;Estados Unidos;França;346.5;TM;346500;KILOGRAMO;138.6;BUL;355471.55;1025.89;388964.94;1122.55;29050;346500;346.5;352540;MTS LOGISTICS, INC. 5 WEST 37TH;SNETOR;POLIETILENO DE ALTA DENSIDAD, SNETOR, HD-0060F POLIETILENO DE ALTA DENSIDAD SON : 13860 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL POLYETHYLENE HAUTE DENSITE EXTRUSION SNETOR HD-0060F REF : HD0060F;POLIETILENO DE ALTA DENSIDAD, SNETOR, HD-0060F POLIETILENO DE ALTA DENSIDAD SON : 13860 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL POLYETHYLENE HAUTE DENSITE EXTRUSION SNETOR HD-0060F REF : HD0060F
118-389809;0001;18/11/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02537-20;MAEU205277843;ABU DHABI;Emirados Árabes;Áustria;49.5;TM;49500;KILOGRAMO;19.8;BUL;51050;1031.31;55393.12;1119.05;3705;49500;49.5;50600;BOROUGE PTE LTDPO BOX 6951ABU DHABI, UAE;BOREALIS;COPOLIMERO DE POLIPROPILENO, BOREALIS, BD950MO REF: BOR2020 526 587 SON : 1980 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL BD950MO BOROUGE BAG POLYPROPYLENE COPOLYMER;COPOLIMERO DE POLIPROPILENO, BOREALIS, BD950MO REF: BOR2020 526 587 SON : 1980 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL BD950MO BOROUGE BAG POLYPROPYLENE COPOLYMER
118-389828;0001;18/11/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02539-20;MAEU205290301;JEBEL ALI;Emirados Árabes;Áustria;24.75;TM;24750;KILOGRAMO;9.9;BUL;25030;1011.31;27262.87;1101.53;1920;24750;24.75;25260;BOROUGE PTE LTDPO BOX 6951ABU DHABI, UAE;BORPURE;POLIETILENO DE ALTA DENSIDAD, BORPURE, MB6561 POLIETILENO DE ALTA DENSIDAD SON : 990 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL BORPURE MB6561 BOROUGE BAG HD POLYETHYLENE REF : BOR 2020 526 587;POLIETILENO DE ALTA DENSIDAD, BORPURE, MB6561 POLIETILENO DE ALTA DENSIDAD SON : 990 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL BORPURE MB6561 BOROUGE BAG HD POLYETHYLENE REF : BOR 2020 526 587
118-390317;0001;18/11/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39031900;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02505-20;SUDU60ITJ030542X;RIO GRANDE;Brasil;França;108;TM;108000;KILOGRAMO;54;BUL;111051.6;1028.26;119036.46;1102.19;6596.72;108000;108;111224;VIDEOLAR-INNOVA S.A;HIGH IMPACT;POLIESTIRENO, HIGH IMPACT, R 970E REF : R970E EN 4320 SACOS X 25 KG / USO : INDUSTRIAL HIGH IMPACT POLYSTYRENE R 970E;POLIESTIRENO, HIGH IMPACT, R 970E REF : R970E EN 4320 SACOS X 25 KG / USO : INDUSTRIAL HIGH IMPACT POLYSTYRENE R 970E
118-390317;0002;18/11/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39031900;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02505-20;SUDU60ITJ030542X;RIO GRANDE;Brasil;França;13.5;TM;13500;KILOGRAMO;0;BUL;13881.45;1028.26;14879.55;1102.19;824.59;13500;13.5;13903;VIDEOLAR-INNOVA S.A;HIGH IMPACT;POLIESTIRENO, HIGH IMPACT, R 940D REF : R940D EN 540 SACOS X 25 KG / USO : INDUSTRIAL HIGH IMPACT POLYSTYRENE R 940D;POLIESTIRENO, HIGH IMPACT, R 940D REF : R940D EN 540 SACOS X 25 KG / USO : INDUSTRIAL HIGH IMPACT POLYSTYRENE R 940D
118-390317;0003;18/11/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39031900;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02505-20;SUDU60ITJ030542X;RIO GRANDE;Brasil;França;13.5;TM;13500;KILOGRAMO;0;BUL;13881.45;1028.26;14879.55;1102.19;824.59;13500;13.5;13903;VIDEOLAR-INNOVA S.A;HIGH IMPACT;POLIESTIRENO, HIGH IMPACT, R 870E REF : R870E EN 540 SACOS X 25 KG / USO : INDUSTRIAL HIGH IMPACT POLYSTYRENE R 870E;POLIESTIRENO, HIGH IMPACT, R 870E REF : R870E EN 540 SACOS X 25 KG / USO : INDUSTRIAL HIGH IMPACT POLYSTYRENE R 870E
118-410553;0001;1/12/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39031900;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02651-20;JAM0154053;KINGSTON;Brasil;França;27;TM;27000;KILOGRAMO;0.18;BUL;20092.62;744.17;22743.77;842.36;2400;27000;27;27580;VIDEOLAR-INNOVA / S/AAV ABIURANA, 1616 ?? DISTRITO;SNETOR;POLIESTIRENO, SNETOR, 525 REF : 525 EN 18 PALETAS X 1500 KG / USO : INDUSTRIAL GENERAL PURPOSE POLYSTYRENE 525;POLIESTIRENO, SNETOR, 525 REF : 525 EN 18 PALETAS X 1500 KG / USO : INDUSTRIAL GENERAL PURPOSE POLYSTYRENE 525
118-413673;0001;2/12/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02651-20;HLCUANR201072059;ANTWERPEN;França;França;123.75;TM;123750;KILOGRAMO;99;BUL;113417.9;916.51;125230.95;1011.97;10395.31;123750;123.75;125832.42;SNETOR CHIMIE;HIVOREX;POLIETILENO DE ALTA DENSIDAD, HIVOREX, 2210JU POLIETILENO DE ALTA DENSIDAD SON : 4950 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL HIGH DENSITY POLYETHYLENE INJECTION LOTTE HIVOREX 2210JU REF : 010103010051;POLIETILENO DE ALTA DENSIDAD, HIVOREX, 2210JU POLIETILENO DE ALTA DENSIDAD SON : 4950 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL HIGH DENSITY POLYETHYLENE INJECTION LOTTE HIVOREX 2210JU REF : 010103010
118-413673;0002;2/12/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02651-20;HLCUANR201072059;ANTWERPEN;Bélgica;França;123.25;TM;123250;KILOGRAMO;0;BUL;115897.93;940.35;127699.97;1036.11;10353.31;123250;123.25;125324;SNETOR CHIMIE;INEOS RIGIDEX;POLIETILENO DE ALTA DENSIDAD, INEOS RIGIDEX, HD5502S POLIETILENO DE ALTA DENSIDAD SON : 4930 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL POLYETHYLENE HAUTE DENSITE INEOS RIGIDEX HD5502S REF : HD5502S;POLIETILENO DE ALTA DENSIDAD, INEOS RIGIDEX, HD5502S POLIETILENO DE ALTA DENSIDAD SON : 4930 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL POLYETHYLENE HAUTE DENSITE INEOS RIGIDEX HD5502S REF : HD5502S
118-414625;0001;3/12/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39031900;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02651-20;HLCULE1201100925;LE HAVRE;França;França;24.75;TM;24750;KILOGRAMO;9.9;BUL;26536.75;1072.19;28943.45;1169.43;2075;24750;24.75;25283;SNETOR CHIMIE;PETROCHEMICALS;POLIESTIRENO, PETROCHEMICALS, 7240 REF : 7240 EN 990 SACOS X 25 KG / USO : INDUSTRIAL POLYSTYRENE CHOC EXTRUSION TOTAL PETROCHEMICALS 7240;POLIESTIRENO, PETROCHEMICALS, 7240 REF : 7240 EN 990 SACOS X 25 KG / USO : INDUSTRIAL POLYSTYRENE CHOC EXTRUSION TOTAL PETROCHEMICALS 7240
118-421047;0001;8/12/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39076190;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02653-20;ONEYNK0GZ0084700;NINGBO;Suíça;França;132;TM;132000;KILOGRAMO;1.2;BUL;83989.2;636.28;109549.06;829.92;24510;132000;132;133450;JIANGYIN XINGTAI NEW MATERIAL CO LT;JADE;RESINA DE PET, JADE, CZ-328 IV 0.85 RESINA DE PET CON UN INDICE DE VISCOSIDAD SUPERIOR A 78 ML/G REF : CZ328 PET RESIN JADE CZ-328 IV 0.85 USO : PARA BOTELLAS / PRESENTACION : 120 BIG BAGS X 1100 KG;RESINA DE PET, JADE, CZ-328 IV 0.85 RESINA DE PET CON UN INDICE DE VISCOSIDAD SUPERIOR A 78 ML/G REF : CZ328 PET RESIN JADE CZ-328 IV 0.85 USO : PARA BOTELLAS / PRESENTACION : 120 BIG BAGS X 1100 KG
118-421052;0001;8/12/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02732-20;HLCUDX3200928828;JEBEL ALI;Emirados Árabes;Áustria;49.5;TM;49500;KILOGRAMO;19.8;BUL;54530;1101.62;59260.77;1197.19;4049.14;49500;49.5;50790;BOROUGE PTE LTD;BOREALIS;POLIPROPILENO, BOREALIS, RG568MO REF: 2800171763 SON : 1980 SACOS DE 25 KG / USO : INDUSTRIAL RG568MO BOROUGE BAG 25/1375KG POLYPROPYLENE;POLIPROPILENO, BOREALIS, RG568MO REF: 2800171763 SON : 1980 SACOS DE 25 KG / USO : INDUSTRIAL RG568MO BOROUGE BAG 25/1375KG POLYPROPYLENE
118-428486;0001;12/12/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02793-20;MAEU205409759;JEBEL ALI;Emirados Árabes;Áustria;49.5;TM;49500;KILOGRAMO;29.7;BUL;51545;1041.31;55826.81;1127.81;3637.5;49500;49.5;50680;BOROUGE PTE LTDPO BOX 6951ABU DHABI, UAE;BOREALIS;COPOLIMERO DE POLIPROPILENO, BOREALIS, BE961MO REF: BOR2020 568 569 SON : 1980 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL BE961MO BOROUGE BAG POLYPROPYLENE COPOLYMER;COPOLIMERO DE POLIPROPILENO, BOREALIS, BE961MO REF: BOR2020 568 569 SON : 1980 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL BE961MO BOROUGE BAG POLYPROPYLENE COPOLYMER
118-428486;0002;12/12/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39011000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02793-20;MAEU205409759;JEBEL ALI;Emirados Árabes;Áustria;24.75;TM;24750;KILOGRAMO;0;BUL;22555;911.31;24655.68;996.19;1818.75;24750;24.75;25340;BOROUGE PTE LTDPO BOX 6951ABU DHABI, UAE;BOREALIS;POLIETILENO DE BAJA DENSIDAD, BOREALIS, FB2230 REF : BOR2020 568 569 SON : 990 SACOS DE 25 KG CADA UNO / USO : INDUSTRIAL FB2230 BOROUGE BAG LLD POLYETHYLENE;POLIETILENO DE BAJA DENSIDAD, BOREALIS, FB2230 REF : BOR2020 568 569 SON : 990 SACOS DE 25 KG CADA UNO / USO : INDUSTRIAL FB2230 BOROUGE BAG LLD POLYETHYLENE
118-430921;0001;15/12/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02686-20;HLCUBSC2011BETU0;HOUSTON;Estados Unidos;França;396;TM;396000;KILOGRAMO;158.4;BUL;408668.8;1031.99;446977.16;1128.73;33200;396000;396;404480;MTS LOGISTICS, INC. 5 WEST 37TH;SNETOR;POLIETILENO DE ALTA DENSIDAD, SNETOR, HD-0060F POLIETILENO DE ALTA DENSIDAD SON : 15840 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL POLYETHYLENE HAUTE DENSITE EXTRUSION SNETOR HD-0060F REF : HD0060F;POLIETILENO DE ALTA DENSIDAD, SNETOR, HD-0060F POLIETILENO DE ALTA DENSIDAD SON : 15840 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL POLYETHYLENE HAUTE DENSITE EXTRUSION SNETOR HD-0060F REF : HD0060F
118-430979;0001;15/12/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02801-20;MCB0116772;Não disponível;Arábia Saudita;França;99;TM;99000;KILOGRAMO;39.6;BUL;103988.8;1050.39;113548.66;1146.96;8260;99000;99;100510;SNETOR CHIMIE11 AVENUE DUBONNET 92407COURBEVOIECED;SNETOR;POLIPROPILENO, SNETOR, 1101S REF : 1101S SON : 3960 SACOS DE 25 KG CADA UNO / USO : INDUSTRIAL POLYPROPYLENE HOMOPOLYMER 1101S;POLIPROPILENO, SNETOR, 1101S REF : 1101S SON : 3960 SACOS DE 25 KG CADA UNO / USO : INDUSTRIAL POLYPROPYLENE HOMOPOLYMER 1101S
118-432771;0001;16/12/2020;2020;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;02822-20;MAEU911383399;JEDDAH;Arábia Saudita;França;88;TM;88000;KILOGRAMO;52.8;BUL;83546.4;949.39;92967.39;1056.45;8376.66;88000;88;89860;NATIONAL PETROCHEMICAL INDUSTRIAL COPO BOX 4459. J;NATPET TELDENE;POLIPROPILENO. NATPET TELDENE. H26ML REF : 010301010015 SON : 3520 SACOS DE 25 KG CADA UNO / USO : INDUSTRIAL POLYPROPYLENE HOMOPOLYMER INJECTION NATPET TELDENE H26ML;POLIPROPILENO. NATPET TELDENE. H26ML REF : 010301010015 SON : 3520 SACOS DE 25 KG CADA UNO / USO : INDUSTRIAL POLYPROPYLENE HOMOPOLYMER INJECTION NATPET TELDENE H26ML
