DUA;Item;Fecha;Año;Importador;RUC;Regimen;Código NCM;Aduana;Vía Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;País de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;TN netos;Kgs. Brutos;Proveedor;Marca;Descripción de Mercadería;Descripción para Filtro
118-112638;0003;31/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;00665-11;SMLU2682162A;HOUSTON;Estados Unidos;Estados Unidos;24750;KILOGRAMO;24750;KILOGRAMO;990;SAC;35516.25;1.44;38059.63;1.54;2475;24750;24.75;25083;INEOS USA LLC;INEOS;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110128P03;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110128P03
118-112638;0004;31/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;00665-11;SMLU2682162A;HOUSTON;Estados Unidos;Estados Unidos;24750;KILOGRAMO;24750;KILOGRAMO;990;SAC;35516.25;1.44;38059.63;1.54;2475;24750;24.75;25083;INEOS USA LLC;INEOS;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110128P03;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110128P03
118-112638;0005;31/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;00665-11;SMLU2682162A;HOUSTON;Estados Unidos;Estados Unidos;24750;KILOGRAMO;24750;KILOGRAMO;990;SAC;35516.25;1.44;38059.63;1.54;2475;24750;24.75;25083;INEOS USA LLC;INEOS;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P02;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P02
118-112638;0006;31/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;00665-11;SMLU2682162A;HOUSTON;Estados Unidos;Estados Unidos;24750;KILOGRAMO;24750;KILOGRAMO;990;SAC;35516.25;1.44;38059.63;1.54;2475;24750;24.75;25083;INEOS USA LLC;INEOS;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P02;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P02
118-112638;0007;31/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;00665-11;SMLU2682162A;HOUSTON;Estados Unidos;Estados Unidos;10425;KILOGRAMO;10425;KILOGRAMO;417;SAC;14959.88;1.44;16031.18;1.54;1042.5;10425;10.425;10565.26;INEOS USA LLC;INEOS;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P04;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P04
118-112638;0008;31/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;00665-11;SMLU2682162A;HOUSTON;Estados Unidos;Estados Unidos;14325;KILOGRAMO;14325;KILOGRAMO;573;SAC;20556.38;1.44;22028.46;1.54;1432.5;14325;14.325;14517.73;INEOS USA LLC;INEOS;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P02;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P02
118-112638;0009;31/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;00665-11;SMLU2682162A;HOUSTON;Estados Unidos;Estados Unidos;24750;KILOGRAMO;24750;KILOGRAMO;990;SAC;35516.25;1.44;38059.63;1.54;2475;24750;24.75;25083;INEOS USA LLC;INEOS;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P04;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P04
118-112638;0010;31/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;00665-11;SMLU2682162A;HOUSTON;Estados Unidos;Estados Unidos;24750;KILOGRAMO;24750;KILOGRAMO;990;SAC;35516.25;1.44;38059.63;1.54;2475;24750;24.75;25083;INEOS USA LLC;INEOS;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P04;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P04
118-112638;0011;31/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;00665-11;SMLU2682162A;HOUSTON;Estados Unidos;Estados Unidos;24750;KILOGRAMO;24750;KILOGRAMO;990;SAC;35516.25;1.44;38059.63;1.54;2475;24750;24.75;25083;INEOS USA LLC;INEOS;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P04;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P04
118-112638;0012;31/03/2011;2011;GLOBALPLAST SAC;4  20515666452;IMPORTACION DEFINITIVA;39012000;MARITIMA DEL CALLAO;MARITIMO;NAUTILIUS S.A.;00665-11;SMLU2682162A;HOUSTON;Estados Unidos;Estados Unidos;24750;KILOGRAMO;24750;KILOGRAMO;990;SAC;35516.25;1.44;38059.63;1.54;2475;24750;24.75;25083;INEOS USA LLC;INEOS;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P02;POLIETILENO DE ALTA DENSIDAD,INEOS,S/M, K44-15-122 PE PELLETS-BAG 25KG 55/P ORDER: 51995831008 REF.NUMBER: 201100201 BATCH NUMBER: C110129P02
